county,year,confirmed_victims,poverty_rate
Young,2016,77,14.6
Zapata,2016,37,29.1
Zavala,2016,39,34.4
Anderson,2017,216,18.8
Andrews,2017,36,13
Angelina,2017,286,20
Aransas,2017,85,18.1
Archer,2017,20,10.1
Atascosa,2017,308,16.9
Austin,2017,17,10.7
Bailey,2017,12,17.2
Bandera,2017,83,11.9
Bastrop,2017,210,11.5
Baylor,2017,12,17.7
Bee,2017,94,26.6
Blanco,2017,13,10.6
Borden,2017,5,11
Bosque,2017,49,16
Bowie,2017,239,15.9
Brazoria,2017,655,9
Brazos,2017,302,23.9
Brewster,2017,17,14
Briscoe,2017,2,15.3
Brooks,2017,37,35
Brown,2017,204,16.8
Burleson,2017,57,16.6
Burnet,2017,149,10.4
Caldwell,2017,135,14.5
Calhoun,2017,99,16.3
Callahan,2017,44,14
Camp,2017,47,20.3
Carson,2017,23,8.5
Cass,2017,87,19
Castro,2017,12,17.2
Chambers,2017,66,9.5
Cherokee,2017,199,17.2
Childress,2017,25,20.3
Clay,2017,21,11.8
Cochran,2017,10,24.8
Coke,2017,1,13.3
Coleman,2017,33,25.2
Collingsworth,2017,6,18
Colorado,2017,12,14.9
Comal,2017,455,8.9
Comanche,2017,35,15
Cooke,2017,253,13
Coryell,2017,289,13.6
Cottle,2017,1,21.2
Crane,2017,6,11.7
Crockett,2017,14,16.8
Crosby,2017,22,22.3
Culberson,2017,15,22.1
Dallam,2017,16,11.5
Dawson,2017,60,21.7
"Deaf Smith",2017,50,17.7
Delta,2017,22,17.5
Denton,2017,932,7.1
DeWitt,2017,65,18.8
Dickens,2017,3,21.2
Dimmit,2017,51,31.2
Donley,2017,8,19.9
Duval,2017,20,28.6
Eastland,2017,63,16.8
Ector,2017,350,13.5
Edwards,2017,5,22.6
Ellis,2017,372,8.5
Erath,2017,167,15.8
Falls,2017,57,27.6
Fannin,2017,99,12.9
Fayette,2017,50,10.8
Fisher,2017,25,14.7
Floyd,2017,21,20.2
Foard,2017,2,18
"Fort Bend",2017,737,8
Franklin,2017,35,14.8
Freestone,2017,37,16.1
Frio,2017,94,27.9
Gaines,2017,35,15
Galveston,2017,746,12
Garza,2017,10,25.3
Gillespie,2017,42,10.9
Glasscock,2017,3,9.4
Goliad,2017,16,15.2
Gonzales,2017,77,16.7
Gray,2017,113,17
Grayson,2017,459,13.4
Gregg,2017,454,16.5
Grimes,2017,63,18
Guadalupe,2017,317,9.3
Hale,2017,104,19.9
Hall,2017,13,24
Hamilton,2017,23,16.1
Hardeman,2017,18,18
Hardin,2017,116,12.7
Harrison,2017,199,17.3
Hartley,2017,3,8.9
Haskell,2017,8,20.6
Hays,2017,308,12.2
Hemphill,2017,5,10
Henderson,2017,361,17.2
Hill,2017,123,14.9
Hockley,2017,86,16.2
Hood,2017,264,10.6
Hopkins,2017,112,13.7
Houston,2017,60,22.3
Howard,2017,136,18.1
Hudspeth,2017,8,18.3
Hunt,2017,311,16.9
Hutchinson,2017,79,12.9
Irion,2017,7,9.3
Jack,2017,46,17.4
Jackson,2017,42,16
Jasper,2017,129,20
"Jeff Davis",2017,1,12.8
Jefferson,2017,572,18.6
"Jim Hogg",2017,17,27.3
"Jim Wells",2017,121,23.7
Johnson,2017,552,10.4
Jones,2017,67,20.9
Karnes,2017,64,22.1
Kaufman,2017,246,9.3
Kendall,2017,39,7.3
Kerr,2017,182,13.3
Kimble,2017,17,18.6
Kinney,2017,7,20.1
Kleberg,2017,91,25.5
Knox,2017,7,20.6
Lamar,2017,218,16.2
Lamb,2017,56,20
Lampasas,2017,83,13.2
"La Salle",2017,38,29.2
Lavaca,2017,20,12.1
Lee,2017,41,12.7
Leon,2017,32,16.1
Liberty,2017,277,15.5
Limestone,2017,34,19.1
Lipscomb,2017,2,13.4
"Live Oak",2017,37,17.4
Llano,2017,83,12.9
Lynn,2017,19,18.1
McCulloch,2017,29,19.4
McLennan,2017,851,17.3
McMullen,2017,1,11.6
Madison,2017,14,18.3
Marion,2017,56,22.8
Martin,2017,20,13.3
Mason,2017,7,12.5
Matagorda,2017,51,18
Maverick,2017,38,27
Medina,2017,108,14.7
Menard,2017,5,20.6
Midland,2017,203,10.7
Milam,2017,80,19.3
Mills,2017,6,15.8
Mitchell,2017,30,20.6
Montague,2017,105,15.3
Montgomery,2017,807,8.9
Moore,2017,65,11.7
Morris,2017,35,18.4
Motley,2017,1,17.7
Nacogdoches,2017,147,23.9
Navarro,2017,106,16.9
Newton,2017,18,20.8
Nolan,2017,136,19.3
Ochiltree,2017,29,12.3
Orange,2017,244,13.7
"Palo Pinto",2017,238,16.8
Panola,2017,91,15
Parker,2017,443,8
Parmer,2017,3,13.3
Pecos,2017,31,20.6
Polk,2017,167,18
Potter,2017,697,18.5
Presidio,2017,6,23.4
Rains,2017,43,17
Randall,2017,316,8.8
Reagan,2017,7,11.4
Real,2017,6,18.2
"Red River",2017,37,19.5
Reeves,2017,21,25.1
Refugio,2017,15,16.9
Roberts,2017,3,7
Robertson,2017,31,17.4
Rockwall,2017,98,5.3
Runnels,2017,29,17.3
Rusk,2017,186,15.2
Sabine,2017,40,20.2
"San Augustine",2017,37,21.6
"San Jacinto",2017,83,18.2
"San Patricio",2017,216,19
"San Saba",2017,16,17.1
Schleicher,2017,8,16.2
Scurry,2017,57,17.2
Shackelford,2017,14,14.2
Shelby,2017,97,20.8
Sherman,2017,2,12.5
Smith,2017,517,15.6
Somervell,2017,39,10.4
Starr,2017,136,32
Stephens,2017,15,19.5
Sterling,2017,1,12.2
Stonewall,2017,8,15.3
Sutton,2017,20,14.3
Swisher,2017,42,19.9
Taylor,2017,800,15.2
Terry,2017,37,21.5
Throckmorton,2017,3,15.4
Titus,2017,97,16.3
"Tom Green",2017,328,13.5
Trinity,2017,68,21
Tyler,2017,91,19.6
Upshur,2017,120,16.4
Upton,2017,6,14
Uvalde,2017,120,20.5
"Val Verde",2017,74,21.4
"Van Zandt",2017,179,13.1
Victoria,2017,206,15.7
Walker,2017,61,23.1
Waller,2017,45,15.5
Ward,2017,39,15.1
Washington,2017,50,12.9
Webb,2017,438,27.3
Wharton,2017,105,16
Wheeler,2017,13,14.5
Wichita,2017,609,16.8
Wilbarger,2017,42,16.4
Willacy,2017,73,35
Williamson,2017,596,6.1
Wilson,2017,87,9.1
Winkler,2017,19,14.7
Wise,2017,225,11.1
Wood,2017,169,15.2
Yoakum,2017,11,12
Young,2017,85,15.8
Zapata,2017,51,30
Zavala,2017,36,31.6
Anderson,2018,194,19.8
Andrews,2018,56,10.7
Angelina,2018,224,17.9
Aransas,2018,83,19.9
Archer,2018,16,10.6
Armstrong,2018,7,10.7
Atascosa,2018,186,15.7
Austin,2018,29,10.2
Bailey,2018,24,15.8
Bandera,2018,56,13.4
Bastrop,2018,309,12.6
Baylor,2018,12,16.1
Bee,2018,119,26.7
Blanco,2018,26,10.1
Borden,2018,4,10
Bosque,2018,59,14.9
Bowie,2018,235,19.1
Brazoria,2018,608,10.1
Brazos,2018,245,23.2
Brewster,2018,19,16
Briscoe,2018,2,16.2
Brooks,2018,31,31
Brown,2018,191,13.2
Burleson,2018,53,14.8
Burnet,2018,179,11
Caldwell,2018,153,14.1
Calhoun,2018,75,14.2
Callahan,2018,70,12
Camp,2018,68,18.8
Carson,2018,20,8.9
Cass,2018,69,20.4
Castro,2018,8,17.5
Chambers,2018,77,8.5
Cherokee,2018,202,17.4
Childress,2018,21,21.2
Clay,2018,35,10.9
Cochran,2018,9,21.9
Coke,2018,11,14.1
Coleman,2018,56,19.3
Collingsworth,2018,10,17.3
Colorado,2018,33,13.7
Comal,2018,378,7.1
Comanche,2018,42,16.4
Concho,2018,4,26.6
Cooke,2018,312,14.8
Coryell,2018,390,15
Cottle,2018,3,21.2
Crane,2018,3,10.1
Crockett,2018,12,15.3
Crosby,2018,21,23.7
Culberson,2018,6,20.3
Dallam,2018,28,12.1
Dawson,2018,39,22.9
"Deaf Smith",2018,45,17.5
Delta,2018,14,17.2
DeWitt,2018,51,18.4
Dickens,2018,7,20.3
Dimmit,2018,61,24.6
Donley,2018,10,18.6
Duval,2018,47,25.5
Eastland,2018,61,18.7
Ector,2018,310,12.9
Edwards,2018,3,22.1
Ellis,2018,320,8.8
Erath,2018,150,18.1
Falls,2018,64,21.7
Fannin,2018,124,13.8
Fayette,2018,36,13.3
Fisher,2018,18,15.5
Floyd,2018,26,21
Foard,2018,5,18
"Fort Bend",2018,631,7.9
Franklin,2018,31,15.2
Freestone,2018,39,13.7
Frio,2018,97,27.5
Gaines,2018,56,15.4
Galveston,2018,712,12.1
Garza,2018,13,24.6
Gillespie,2018,58,9.6
Glasscock,2018,1,9.7
Goliad,2018,15,14.4
Gonzales,2018,32,16.9
Gray,2018,90,16.7
Grayson,2018,509,12.3
Gregg,2018,553,15.1
Grimes,2018,64,17.5
Guadalupe,2018,237,8.5
Hale,2018,140,18.4
Hall,2018,11,24.1
Hamilton,2018,23,14.7
Hansford,2018,2,11.6
Hardeman,2018,9,17.4
Hardin,2018,147,12.4
Harrison,2018,174,14.7
Hartley,2018,2,9.5
Haskell,2018,28,23.1
Hays,2018,455,13.2
Hemphill,2018,3,9.6
Henderson,2018,351,19.4
Hill,2018,140,12.6
Hockley,2018,99,19.5
Hood,2018,297,10.2
Hopkins,2018,63,14.6
Houston,2018,69,26.1
Howard,2018,118,20.6
Hudspeth,2018,10,17.8
Hunt,2018,317,13.6
Hutchinson,2018,91,13
Jack,2018,46,17.7
Jackson,2018,32,12.9
Jasper,2018,114,19.2
Jefferson,2018,601,18.7
"Jim Hogg",2018,11,25.2
"Jim Wells",2018,141,21.2
Johnson,2018,561,10.7
Jones,2018,122,22
Karnes,2018,60,21.8
Kaufman,2018,322,11.5
Kendall,2018,48,7.5
Kent,2018,3,13.3
Kerr,2018,199,13.9
Kimble,2018,21,17.6
Kinney,2018,9,21.1
Kleberg,2018,107,25
Knox,2018,10,20.4
Lamar,2018,172,14.4
Lamb,2018,28,20
Lampasas,2018,77,12.9
"La Salle",2018,34,29.6
Lavaca,2018,32,13.5
Lee,2018,23,12.3
Leon,2018,23,15.6
Liberty,2018,247,15.1
Limestone,2018,33,22.2
Lipscomb,2018,5,12
"Live Oak",2018,28,18.7
Llano,2018,76,12.3
Lynn,2018,5,18.3
McCulloch,2018,31,18.5
McLennan,2018,878,18.9
Madison,2018,20,17.9
Marion,2018,33,21.9
Martin,2018,7,13.6
Mason,2018,9,12.7
Matagorda,2018,92,18.4
Maverick,2018,49,25.9
Medina,2018,155,12.3
Menard,2018,6,21.6
Midland,2018,211,10.1
Milam,2018,72,15.6
Mills,2018,12,14.6
Mitchell,2018,59,21.4
Montague,2018,139,13.8
Moore,2018,60,12.2
Morris,2018,66,20.2
Motley,2018,3,17.8
Nacogdoches,2018,151,21.6
Navarro,2018,112,20
Newton,2018,19,22.3
Nolan,2018,125,18.2
Ochiltree,2018,22,10.5
Oldham,2018,8,13
Orange,2018,280,13.4
"Palo Pinto",2018,206,15.9
Panola,2018,72,15.7
Parker,2018,459,8.3
Parmer,2018,18,13.5
Pecos,2018,22,19.5
Polk,2018,121,15
Potter,2018,714,19.7
Presidio,2018,2,22.4
Rains,2018,25,14.5
Randall,2018,342,8.5
Reagan,2018,8,10
Real,2018,10,18.1
"Red River",2018,30,18.2
Reeves,2018,12,21.5
Refugio,2018,15,16.3
Robertson,2018,45,15.8
Rockwall,2018,154,5.1
Runnels,2018,41,16.9
Rusk,2018,162,16.4
Sabine,2018,21,17.6
"San Augustine",2018,19,22.2
"San Jacinto",2018,61,17.5
"San Patricio",2018,230,17.3
"San Saba",2018,20,16.8
Schleicher,2018,2,16.5
Scurry,2018,88,15.8
Shackelford,2018,15,13.4
Shelby,2018,71,20.6
Sherman,2018,2,12.1
Smith,2018,519,15
Somervell,2018,47,9.7
Starr,2018,127,33.2
Stephens,2018,25,19.4
Sterling,2018,2,12.6
Stonewall,2018,5,14.6
Sutton,2018,14,14.2
Swisher,2018,32,19.2
Taylor,2018,912,16
Terrell,2018,1,18.9
Terry,2018,33,22.4
Throckmorton,2018,3,14.3
