Year,County,Victims
2023,Collin,"1,094"
2023,Cooke,116
2023,Dallas,"5,702"
2023,Denton,"1,148"
2023,Ellis,285
2023,Erath,52
2023,Fannin,57
2023,Grayson,258
2023,Hood,190
2023,Hunt,232
2023,Johnson,534
2023,Kaufman,268
2023,Navarro,96
2023,Palo Pinto,90
2023,Parker,305
2023,Rockwall,158
2023,Somervell,26
2023,Tarrant,"5,332"
2023,Wise,193
2023,Anderson,96
2023,Bowie,199
2023,Camp,35
2023,Cass,71
2023,Cherokee,194
2023,Delta,9
2023,Franklin,22
2023,Gregg,413
2023,Harrison,129
2023,Henderson,292
2023,Hopkins,126
2023,Lamar,187
2023,Marion,39
2023,Morris,29
2023,Panola,71
2023,Rains,39
2023,Red River,26
2023,Rusk,151
2023,Smith,683
2023,Titus,76
2023,Upshur,130
2023,Van Zandt,147
2023,Wood,131
2023,Angelina,352
2023,Hardin,144
2023,Houston,49
2023,Jasper,96
2023,Jefferson,625
2023,Nacogdoches,215
2023,Newton,17
2023,Orange,254
2023,Polk,157
2023,Sabine,26
2023,San Augustine,32
2023,San Jacinto,84
2023,Shelby,83
2023,Trinity,40
2023,Tyler,41
2023,Austin,36
2023,Brazoria,575
2023,Chambers,69
2023,Colorado,12
2023,Fort Bend,477
2023,Galveston,547
2023,Harris,"5,903"
2023,Liberty,208
2023,Matagorda,114
2023,Montgomery,759
2023,Walker,94
2023,Waller,53
2023,Wharton,78
2023,Bastrop,250
2023,Bell,"1,612"
2023,Blanco,16
2023,Bosque,68
2023,Brazos,480
2023,Burleson,35
2023,Burnet,155
2023,Caldwell,140
2023,Coryell,369
2023,Falls,67
2023,Fayette,50
2023,Freestone,49
2023,Grimes,43
2023,Hamilton,26
2023,Hays,458
2023,Hill,170
2023,Lampasas,84
2023,Lee,46
2023,Leon,36
2023,Limestone,58
2023,Llano,78
2023,Madison,31
2023,McLennan,897
2023,Milam,87
2023,Mills,10
2023,Robertson,86
2023,San Saba,10
2023,Travis,"1,808"
2023,Washington,80
2023,Williamson,881
2023,Atascosa,139
2023,Bandera,45
2023,Bexar,"4,677"
2023,Calhoun,24
2023,Comal,248
2023,DeWitt,30
2023,Dimmit,35
2023,Edwards,5
2023,Frio,76
2023,Gillespie,32
2023,Goliad,14
2023,Gonzales,46
2023,Guadalupe,263
2023,Jackson,22
2023,Karnes,27
2023,Kendall,34
2023,Kerr,138
2023,Kinney,4
2023,La Salle,30
2023,Lavaca,22
2023,Maverick,90
2023,Medina,122
2023,Real,11
2023,Uvalde,84
2023,Val Verde,106
2023,Victoria,274
2023,Wilson,78
2023,Zavala,60
2023,Andrews,35
2023,Borden,2
2023,Coke,1
2023,Concho,4
2023,Crane,7
2023,Crockett,13
2023,Dawson,38
2023,Ector,409
2023,Gaines,13
2023,Glasscock,2
2023,Howard,58
2023,Kimble,22
2023,Martin,19
2023,Mason,4
2023,McCulloch,18
2023,Menard,7
2023,Midland,293
2023,Pecos,40
2023,Reagan,10
2023,Reeves,37
2023,Schleicher,6
2023,Sterling,1
2023,Sutton,10
2023,Tom Green,259
2023,Upton,18
2023,Ward,40
2023,Winkler,32
2023,Brewster,9
2023,Culberson,14
2023,El Paso,"1,625"
2023,Hudspeth,9
2023,Presidio,5
2023,Aransas,82
2023,Bee,94
2023,Brooks,36
2023,Cameron,871
2023,Duval,40
2023,Hidalgo,"1,639"
2023,Jim Hogg,14
2023,Jim Wells,132
2023,Kleberg,95
2023,Live Oak,17
2023,Nueces,936
2023,Refugio,13
2023,San Patricio,191
2023,Starr,46
2023,Webb,388
2023,Willacy,76
2023,Zapata,35
2023,Out of State,6
2022,Armstrong,3
2022,Bailey,11
2022,Briscoe,2
2022,Carson,6
2022,Castro,7
2022,Childress,26
2022,Cochran,2
2022,Collingsworth,11
2022,Crosby,25
2022,Dallam,10
2022,Deaf Smith,56
2022,Dickens,3
2022,Donley,16
2022,Floyd,8
2022,Garza,21
2022,Gray,93
2022,Hale,131
2022,Hall,22
2022,Hansford,19
2022,Hartley,1
2022,Hemphill,4
2022,Hockley,66
2022,Hutchinson,91
2022,Lamb,24
2022,Lipscomb,3
2022,Lubbock,734
2022,Lynn,14
2022,Moore,72
2022,Motley,3
2022,Ochiltree,13
2022,Oldham,1
2022,Parmer,14
2022,Potter,490
2022,Randall,286
2022,Roberts,2
2022,Sherman,11
2022,Swisher,31
2022,Terry,51
2022,Wheeler,13
2022,Yoakum,10
2022,Archer,22
2022,Baylor,6
2022,Brown,163
2022,Callahan,87
2022,Clay,58
2022,Coleman,38
2022,Comanche,77
2022,Cottle,2
2022,Eastland,106
2022,Fisher,19
2022,Foard,3
2022,Hardeman,6
2022,Haskell,20
2022,Jack,31
2022,Jones,43
2022,Kent,8
2022,Knox,6
2022,Mitchell,35
2022,Montague,91
2022,Nolan,105
2022,Runnels,21
2022,Scurry,90
2022,Shackelford,10
2022,Stephens,55
2022,Taylor,776
2022,Wichita,572
2022,Wilbarger,32
2022,Young,62
2022,Collin,"1,096"
2022,Cooke,163
2022,Dallas,"5,818"
2022,Denton,"1,088"
2022,Ellis,260
2022,Erath,131
2022,Fannin,75
2022,Grayson,268
2022,Hood,208
2022,Hunt,289
2022,Johnson,421
2022,Kaufman,322
2022,Navarro,99
2022,Palo Pinto,85
2022,Parker,459
2022,Rockwall,214
2022,Somervell,22
2022,Tarrant,"5,506"
2022,Wise,186
2022,Anderson,102
2022,Bowie,222
2022,Camp,38
2022,Cass,73
2022,Cherokee,182
2022,Delta,6
2022,Franklin,19
2022,Gregg,425
2022,Harrison,125
2022,Henderson,221
2022,Hopkins,95
2022,Lamar,96
2022,Marion,11
2022,Morris,44
2022,Panola,42
2022,Rains,15
2022,Red River,28
2022,Rusk,112
2022,Smith,597
2022,Titus,67
2022,Upshur,151
2022,Van Zandt,88
2022,Wood,78
2022,Angelina,278
2022,Hardin,106
2022,Houston,36
2022,Jasper,66
2022,Jefferson,554
2022,Nacogdoches,138
2022,Newton,16
2022,Orange,179
2022,Polk,104
2022,Sabine,26
2022,San Augustine,13
2022,San Jacinto,38
2022,Shelby,45
2022,Trinity,61
2022,Tyler,46
2022,Austin,50
2022,Brazoria,493
2022,Chambers,54
2022,Colorado,27
2022,Fort Bend,535
2022,Galveston,659
2022,Harris,"5,622"
2022,Liberty,162
2022,Matagorda,103
2022,Montgomery,982
2022,Walker,72
2022,Waller,63
2022,Wharton,52
2022,Bastrop,218
2022,Bell,"1,293"
2022,Blanco,14
2022,Bosque,35
2022,Brazos,501
2022,Burleson,43
2022,Burnet,104
2022,Caldwell,107
2022,Coryell,259
2022,Falls,43
2022,Fayette,53
2022,Freestone,44
2022,Grimes,40
2022,Hamilton,25
2022,Hays,339
2022,Hill,144
2022,Lampasas,57
2022,Lee,32
2022,Leon,34
2022,Limestone,71
2022,Llano,70
2022,Madison,18
2022,McLennan,796
2022,Milam,87
2022,Mills,14
2022,Robertson,57
2022,San Saba,11
2022,Travis,"1,622"
2022,Washington,97
2022,Williamson,810
2022,Atascosa,146
2022,Bandera,44
2022,Bexar,"4,972"
2022,Calhoun,26
2022,Comal,287
2022,DeWitt,22
2022,Dimmit,27
2022,Edwards,11
2022,Frio,60
2022,Gillespie,28
2022,Goliad,10
2022,Gonzales,48
2022,Guadalupe,297
2022,Jackson,29
2022,Karnes,37
2022,Kendall,54
2022,Kerr,107
2022,Kinney,15
2022,La Salle,12
2022,Lavaca,22
2022,Maverick,100
2022,Medina,137
2022,Real,6
2022,Uvalde,75
2022,Val Verde,98
2022,Victoria,273
2022,Wilson,97
2022,Zavala,34
2022,Andrews,18
2022,Borden,1
2022,Coke,3
2022,Concho,4
2022,Crane,4
2022,Crockett,15
2022,Dawson,43
2022,Ector,349
2022,Gaines,30
2022,Glasscock,1
2022,Howard,82
2022,Irion,3
2022,Kimble,10
2022,Martin,4
2022,Mason,3
2022,McCulloch,34
2022,Menard,6
2022,Midland,319
2022,Pecos,34
2022,Reagan,6
2022,Reeves,33
2022,Schleicher,2
2022,Sterling,4
2022,Sutton,5
2022,Tom Green,261
2022,Upton,12
2022,Ward,39
2022,Winkler,17
2022,Brewster,17
2022,Culberson,10
2022,El Paso,"1,475"
2022,Hudspeth,7
2022,Jeff Davis,5
2022,Presidio,5
2022,Aransas,75
2022,Bee,117
2022,Brooks,25
2022,Cameron,984
2022,Duval,34
2022,Hidalgo,"1,586"
2022,Jim Hogg,11
2022,Jim Wells,189
2022,Kenedy,2
2022,Kleberg,89
2022,Live Oak,28
2022,McMullen,2
2022,Nueces,885
2022,Refugio,17
2022,San Patricio,209
2022,Starr,125
2022,Webb,420
2022,Willacy,69
2022,Zapata,25
2022,Out of State,2
2021,Armstrong,5
2021,Bailey,16
2021,Briscoe,1
2021,Carson,15
2021,Castro,17
2021,Childress,23
2021,Cochran,13
2021,Collingsworth,5
2021,Crosby,10
2021,Dallam,57
2021,Deaf Smith,73
2021,Dickens,7
2021,Donley,15
2021,Floyd,24
2021,Garza,14
2021,Gray,101
2021,Hale,174
2021,Hall,9
2021,Hansford,7
2021,Hartley,19
2021,Hemphill,5
2021,Hockley,96
2021,Hutchinson,92
2021,Lamb,31
2021,Lipscomb,6
2021,Lubbock,970
2021,Lynn,19
2021,Moore,53
2021,Ochiltree,33
2021,Oldham,2
2021,Parmer,17
2021,Potter,529
2021,Randall,310
2021,Roberts,1
2021,Sherman,6
2021,Swisher,40
2021,Terry,34
2021,Wheeler,10
2021,Yoakum,9
