Year,Name,Poverty Percent
2017,Bexar,15.6
2017,Blanco,10.6
2017,Borden,11.0
2017,Bosque,16.0
2017,Bowie,15.9
2017,Brazoria,9.0
2017,Brazos,23.9
2017,Brewster,14.0
2017,Briscoe,15.3
2017,Brooks,35.0
2017,Brown,16.8
2017,Burleson,16.6
2017,Burnet,10.4
2017,Caldwell,14.5
2017,Calhoun,16.3
2017,Callahan,14.0
2017,Cameron,27.7
2017,Camp,20.3
2017,Carson,8.5
2017,Cass,19.0
2017,Castro,17.2
2017,Chambers,9.5
2017,Cherokee,17.2
2017,Childress,20.3
2017,Clay,11.8
2017,Cochran,24.8
2017,Coke,13.3
2017,Coleman,25.2
2017,Collin,5.9
2017,Collingsworth,18.0
2017,Colorado,14.9
2017,Comal,8.9
2017,Comanche,15.0
2017,Concho,15.4
2017,Cooke,13.0
2017,Coryell,13.6
2017,Cottle,21.2
2017,Crane,11.7
2017,Crockett,16.8
2017,Crosby,22.3
2017,Culberson,22.1
2017,Dallam,11.5
2017,Dallas,14.8
2017,Dawson,21.7
2017,Deaf Smith,17.7
2017,Delta,17.5
2017,Denton,7.1
2017,DeWitt,18.8
2017,Dickens,21.2
2017,Dimmit,31.2
2017,Donley,19.9
2017,Duval,28.6
2017,Eastland,16.8
2017,Ector,13.5
2017,Edwards,22.6
2017,Ellis,8.5
2017,El Paso,21.0
2017,Erath,15.8
2017,Falls,27.6
2017,Fannin,12.9
2017,Fayette,10.8
2017,Fisher,14.7
2017,Floyd,20.2
2017,Foard,18.0
2017,Fort Bend,8.0
2017,Franklin,14.8
2017,Freestone,16.1
2017,Frio,27.9
2017,Gaines,15.0
2017,Galveston,12.0
2017,Garza,25.3
2017,Gillespie,10.9
2017,Glasscock,9.4
2017,Goliad,15.2
2017,Gonzales,16.7
2017,Gray,17.0
2017,Grayson,13.4
2017,Gregg,16.5
2017,Grimes,18.0
2017,Guadalupe,9.3
2017,Hale,19.9
2017,Hall,24.0
2017,Hamilton,16.1
2017,Hansford,11.9
2017,Hardeman,18.0
2017,Hardin,12.7
2017,Harris,15.9
2017,Harrison,17.3
2017,Hartley,8.9
2017,Haskell,20.6
2017,Hays,12.2
2017,Hemphill,10.0
2017,Henderson,17.2
2017,Hidalgo,29.5
2017,Hill,14.9
2017,Hockley,16.2
2017,Hood,10.6
2017,Hopkins,13.7
2017,Houston,22.3
2017,Howard,18.1
2017,Hudspeth,18.3
2017,Hunt,16.9
2017,Hutchinson,12.9
2017,Irion,9.3
2017,Jack,17.4
2017,Jackson,16.0
2017,Jasper,20.0
2017,Jeff Davis,12.8
2017,Jefferson,18.6
2017,Jim Hogg,27.3
2017,Jim Wells,23.7
2017,Johnson,10.4
2017,Jones,20.9
2017,Karnes,22.1
2017,Kaufman,9.3
2017,Kendall,7.3
2017,Kenedy,15.2
2017,Kent,13.3
2017,Kerr,13.3
2017,Kimble,18.6
2017,King,13.9
2017,Kinney,20.1
2017,Kleberg,25.5
2017,Knox,20.6
2017,Lamar,16.2
2017,Lamb,20.0
2017,Lampasas,13.2
2017,La Salle,29.2
2017,Lavaca,12.1
2017,Lee,12.7
2017,Leon,16.1
2017,Liberty,15.5
2017,Limestone,19.1
2017,Lipscomb,13.4
2017,Live Oak,17.4
2017,Llano,12.9
2017,Loving,9.7
2017,Lubbock,18.9
2017,Lynn,18.1
2017,McCulloch,19.4
2017,McLennan,17.3
2017,McMullen,11.6
2017,Madison,18.3
2017,Marion,22.8
2017,Martin,13.3
2017,Mason,12.5
2017,Matagorda,18.0
2017,Maverick,27.0
2017,Medina,14.7
2017,Menard,20.6
2017,Midland,10.7
2017,Milam,19.3
2017,Mills,15.8
2017,Mitchell,20.6
2017,Montague,15.3
2017,Montgomery,8.9
2017,Moore,11.7
2017,Morris,18.4
2017,Motley,17.7
2017,Nacogdoches,23.9
2017,Navarro,16.9
2017,Newton,20.8
2017,Nolan,19.3
2017,Nueces,16.1
2017,Ochiltree,12.3
2017,Oldham,12.8
2017,Orange,13.7
2017,Palo Pinto,16.8
2017,Panola,15.0
2017,Parker,8.0
2017,Parmer,13.3
2017,Pecos,20.6
2017,Polk,18.0
2017,Potter,18.5
2017,Presidio,23.4
2017,Rains,17.0
2017,Randall,8.8
2017,Reagan,11.4
2017,Real,18.2
2017,Red River,19.5
2017,Reeves,25.1
2017,Refugio,16.9
2017,Roberts,7.0
2017,Robertson,17.4
2017,Rockwall,5.3
2017,Runnels,17.3
2017,Rusk,15.2
2017,Sabine,20.2
2017,San Augustine,21.6
2017,San Jacinto,18.2
2017,San Patricio,19.0
2017,San Saba,17.1
2017,Schleicher,16.2
2017,Scurry,17.2
2017,Shackelford,14.2
2017,Shelby,20.8
2017,Sherman,12.5
2017,Smith,15.6
2017,Somervell,10.4
2017,Starr,32.0
2017,Stephens,19.5
2017,Sterling,12.2
2017,Stonewall,15.3
2017,Sutton,14.3
2017,Swisher,19.9
2017,Tarrant,11.6
2017,Taylor,15.2
2017,Terrell,19.3
2017,Terry,21.5
2017,Throckmorton,15.4
2017,Titus,16.3
2017,Tom Green,13.5
2017,Travis,11.5
2017,Trinity,21.0
2017,Tyler,19.6
2017,Upshur,16.4
2017,Upton,14.0
2017,Uvalde,20.5
2017,Val Verde,21.4
2017,Van Zandt,13.1
